URL checker started: base=https://api.crm.luminartechnolab.com, concurrency=10, timeout=5000ms
[92] https://api.crm.luminartechnolab.com/Root -> 404 NOTFOUND/CLIENT (219ms)
[91] https://api.crm.luminartechnolab.com/style -> 404 NOTFOUND/CLIENT (220ms)
[93] https://api.crm.luminartechnolab.com/Repository -> 404 NOTFOUND/CLIENT (221ms)
[94] https://api.crm.luminartechnolab.com/imapd -> 404 NOTFOUND/CLIENT (220ms)
[96] https://api.crm.luminartechnolab.com/defaultColorConf -> 404 NOTFOUND/CLIENT (220ms)
[100] https://api.crm.luminartechnolab.com/de_DE -> 404 NOTFOUND/CLIENT (220ms)
[99] https://api.crm.luminartechnolab.com/COPYING -> 404 NOTFOUND/CLIENT (220ms)
[97] https://api.crm.luminartechnolab.com/template -> 404 NOTFOUND/CLIENT (222ms)
[98] https://api.crm.luminartechnolab.com/authweb -> 404 NOTFOUND/CLIENT (222ms)
[95] https://api.crm.luminartechnolab.com/flags -> 404 NOTFOUND/CLIENT (226ms)
[102] https://api.crm.luminartechnolab.com/fr_FR -> 404 NOTFOUND/CLIENT (219ms)
[101] https://api.crm.luminartechnolab.com/english -> 404 NOTFOUND/CLIENT (221ms)
[103] https://api.crm.luminartechnolab.com/asp -> 404 NOTFOUND/CLIENT (221ms)
[104] https://api.crm.luminartechnolab.com/tmp -> 404 NOTFOUND/CLIENT (220ms)
[106] https://api.crm.luminartechnolab.com/source -> 404 NOTFOUND/CLIENT (220ms)
[109] https://api.crm.luminartechnolab.com/backgrounds -> 404 NOTFOUND/CLIENT (220ms)
[107] https://api.crm.luminartechnolab.com/doc -> 404 NOTFOUND/CLIENT (221ms)
[110] https://api.crm.luminartechnolab.com/maint -> 404 NOTFOUND/CLIENT (221ms)
[108] https://api.crm.luminartechnolab.com/blocks -> 404 NOTFOUND/CLIENT (222ms)
[105] https://api.crm.luminartechnolab.com/sql -> 404 NOTFOUND/CLIENT (225ms)
[112] https://api.crm.luminartechnolab.com/nl_NL -> 404 NOTFOUND/CLIENT (219ms)
[111] https://api.crm.luminartechnolab.com/help -> 404 NOTFOUND/CLIENT (220ms)
[113] https://api.crm.luminartechnolab.com/administrator -> 404 NOTFOUND/CLIENT (221ms)
[114] https://api.crm.luminartechnolab.com/version -> 404 NOTFOUND/CLIENT (220ms)
[116] https://api.crm.luminartechnolab.com/Makefile -> 404 NOTFOUND/CLIENT (220ms)
[119] https://api.crm.luminartechnolab.com/ra -> 404 NOTFOUND/CLIENT (219ms)
[117] https://api.crm.luminartechnolab.com/styles -> 404 NOTFOUND/CLIENT (221ms)
[118] https://api.crm.luminartechnolab.com/toolbar -> 404 NOTFOUND/CLIENT (222ms)
[120] https://api.crm.luminartechnolab.com/iissamples -> 404 NOTFOUND/CLIENT (221ms)
[115] https://api.crm.luminartechnolab.com/category -> 404 NOTFOUND/CLIENT (225ms)
[122] https://api.crm.luminartechnolab.com/PDF -> 404 NOTFOUND/CLIENT (219ms)
[121] https://api.crm.luminartechnolab.com/files -> 404 NOTFOUND/CLIENT (220ms)
[123] https://api.crm.luminartechnolab.com/22 -> 404 NOTFOUND/CLIENT (220ms)
[124] https://api.crm.luminartechnolab.com/catalog -> 404 NOTFOUND/CLIENT (220ms)
[126] https://api.crm.luminartechnolab.com/simpletest -> 404 NOTFOUND/CLIENT (220ms)
[129] https://api.crm.luminartechnolab.com/samples -> 404 NOTFOUND/CLIENT (220ms)
[127] https://api.crm.luminartechnolab.com/database -> 404 NOTFOUND/CLIENT (222ms)
[128] https://api.crm.luminartechnolab.com/06 -> 404 NOTFOUND/CLIENT (224ms)
[130] https://api.crm.luminartechnolab.com/libraries -> 404 NOTFOUND/CLIENT (222ms)
[125] https://api.crm.luminartechnolab.com/libs -> 404 NOTFOUND/CLIENT (226ms)
[132] https://api.crm.luminartechnolab.com/16 -> 404 NOTFOUND/CLIENT (219ms)
[131] https://api.crm.luminartechnolab.com/fc_functions -> 404 NOTFOUND/CLIENT (220ms)
[133] https://api.crm.luminartechnolab.com/11 -> 404 NOTFOUND/CLIENT (220ms)
[134] https://api.crm.luminartechnolab.com/fr -> 404 NOTFOUND/CLIENT (220ms)
[136] https://api.crm.luminartechnolab.com/01 -> 404 NOTFOUND/CLIENT (220ms)
[139] https://api.crm.luminartechnolab.com/12 -> 404 NOTFOUND/CLIENT (220ms)
[137] https://api.crm.luminartechnolab.com/perl -> 404 NOTFOUND/CLIENT (222ms)
[140] https://api.crm.luminartechnolab.com/upload -> 404 NOTFOUND/CLIENT (221ms)
[138] https://api.crm.luminartechnolab.com/controllers -> 404 NOTFOUND/CLIENT (223ms)
[135] https://api.crm.luminartechnolab.com/bg -> 404 NOTFOUND/CLIENT (226ms)
[142] https://api.crm.luminartechnolab.com/components -> 404 NOTFOUND/CLIENT (219ms)
[141] https://api.crm.luminartechnolab.com/no_NO -> 404 NOTFOUND/CLIENT (220ms)
[143] https://api.crm.luminartechnolab.com/class -> 404 NOTFOUND/CLIENT (220ms)
[144] https://api.crm.luminartechnolab.com/servlet -> 404 NOTFOUND/CLIENT (220ms)
[146] https://api.crm.luminartechnolab.com/32 -> 404 NOTFOUND/CLIENT (220ms)
[149] https://api.crm.luminartechnolab.com/phpunit -> 404 NOTFOUND/CLIENT (220ms)
[150] https://api.crm.luminartechnolab.com/info -> 404 NOTFOUND/CLIENT (220ms)
[147] https://api.crm.luminartechnolab.com/1033 -> 404 NOTFOUND/CLIENT (222ms)
[148] https://api.crm.luminartechnolab.com/temp -> 404 NOTFOUND/CLIENT (223ms)
[145] https://api.crm.luminartechnolab.com/de -> 404 NOTFOUND/CLIENT (225ms)
[152] https://api.crm.luminartechnolab.com/09 -> 404 NOTFOUND/CLIENT (219ms)
[151] https://api.crm.luminartechnolab.com/_vti_pvt -> 404 NOTFOUND/CLIENT (220ms)
[153] https://api.crm.luminartechnolab.com/utils -> 404 NOTFOUND/CLIENT (220ms)
[154] https://api.crm.luminartechnolab.com/fonts -> 404 NOTFOUND/CLIENT (220ms)
[156] https://api.crm.luminartechnolab.com/app -> 404 NOTFOUND/CLIENT (219ms)
[157] https://api.crm.luminartechnolab.com/tables -> 404 NOTFOUND/CLIENT (220ms)
[159] https://api.crm.luminartechnolab.com/editor -> 404 NOTFOUND/CLIENT (219ms)
[160] https://api.crm.luminartechnolab.com/demo -> 404 NOTFOUND/CLIENT (220ms)
[158] https://api.crm.luminartechnolab.com/it -> 404 NOTFOUND/CLIENT (220ms)
[155] https://api.crm.luminartechnolab.com/contrib -> 404 NOTFOUND/CLIENT (224ms)
[162] https://api.crm.luminartechnolab.com/ChangeLog -> 404 NOTFOUND/CLIENT (219ms)
[161] https://api.crm.luminartechnolab.com/wget -> 404 NOTFOUND/CLIENT (220ms)
[163] https://api.crm.luminartechnolab.com/14 -> 404 NOTFOUND/CLIENT (220ms)
[164] https://api.crm.luminartechnolab.com/03 -> 404 NOTFOUND/CLIENT (220ms)
[166] https://api.crm.luminartechnolab.com/login -> 404 NOTFOUND/CLIENT (221ms)
[170] https://api.crm.luminartechnolab.com/bullets -> 404 NOTFOUND/CLIENT (219ms)
[167] https://api.crm.luminartechnolab.com/graphics -> 404 NOTFOUND/CLIENT (220ms)
[169] https://api.crm.luminartechnolab.com/cfm -> 404 NOTFOUND/CLIENT (221ms)
[168] https://api.crm.luminartechnolab.com/elements -> 404 NOTFOUND/CLIENT (222ms)
[165] https://api.crm.luminartechnolab.com/ru -> 404 NOTFOUND/CLIENT (226ms)
[172] https://api.crm.luminartechnolab.com/silver -> 404 NOTFOUND/CLIENT (219ms)
